Institution,Type,Address,Latitude,Longitude,Potential Reach (Monthly),English,Spanish,Other,Date
Rancho Grande Bar & Grill,Restaurant,"2507 S Hastings Way, Eau Claire, WI 54701",44.7934767,-91.4583543,~400,~280,~120,0,12/11/2025
La Notenita,Store,"3001 London Rd, Eau Claire, WI 54701",44.7882432,-91.4630606,~400,~20,~380,0,12/11/2025
Encanto Cantina,Restaurant,"2839 Mall Dr, Eau Claire, WI 54701",44.7899312,-91.4615936,~60,~40,~20,0,12/11/2025
La Misma Luna,Store,"2824 London Rd, Eau Claire, WI 54701",44.7898978,-91.4633079,~400,~40,~360,0,12/11/2025
La Poblanita,Restaurant,"2436 London Rd, Eau Claire, WI 54701",44.7930645,-91.4636732,~200,~20,~180,0,12/11/2025
Azul Tequila,Restaurant,"2503 London Rd, Eau Claire, WI 54701",44.7933077,-91.4627112,~1550,~775,~775,0,12/11/2025
Open Door Clinic,Non-profit Organization,"130 W Central St, Chippewa Falls, WI 54729",44.9353025,-91.3942506,~32,~24,~8,0,12/8/2025
Noe's Mini Market and Carniceria,Store,"628 Water St, Eau Claire, WI 54703",44.802245,-91.5124904,~70,~10,~60,0,12/30/2024
Casa Mexicana,Restaurant,"324 N Bridge St, Chippewa Falls, WI 54729",44.9372135,-91.3935377,~200,~150,~50,0,1/7/2026
St Mary's Catholic Church,Religous Organization,"1812 Lynn Ave, Altoona, WI 54720",44.8064538,-91.4392041,~600,~300,~270,~30,1/3/2026
St Charles Borromeo Catholic Church,Religous Organization,"810 Pearl St, Chippewa Falls, WI 54729",44.9380226,-91.4029161,~300,~290,0,~10,12/31/2025
